,amount_tsh,funder,gps_height,installer,longitude,latitude,basin,subvillage,region,lga,ward,population,public_meeting,permit,construction_year,extraction_type,management,payment,water_quality,quantity,source,waterpoint_type,status_group
count,6907.0,6340,6907.0,6337,6907.0,6907.0,6907,6880,6907,6907,6907,6907.0,6600,6502,6907.0,6907,6907,6907,6907,6907,6907,6907,6907
unique,,618,,648,,,9,4460,21,124,1584,,2,2,54.0,17,12,7,7,5,10,7,2
top,,Government Of Tanzania,,DWE,,,Lake Victoria,Shuleni,Shinyanga,Bariadi,Mahembe,,True,True,0.0,gravity,vwc,never pay,soft,enough,spring,communal standpipe,others
freq,,1094,,2252,,,1349,84,732,353,50,,5965,4443,2607.0,3680,4700,3076,6076,3844,2065,3464,3466
mean,326.29303605038365,,649.1269726364558,,32.88793449109602,-5.4669010327523075,,,,,,178.67656001158244,,,,,,,,,,,
std,3831.6817418189194,,673.3721409469374,,8.362591058174534,3.012454230381671,,,,,,433.05323948656394,,,,,,,,,,,
min,0.0,,-54.0,,0.0,-11.64944018,,,,,,0.0,,,,,,,,,,,
25%,0.0,,0.0,,32.15475223,-8.33581288,,,,,,0.0,,,,,,,,,,,
50%,0.0,,378.0,,34.5930165,-4.75444144,,,,,,30.0,,,,,,,,,,,
75%,25.0,,1286.0,,36.955190735,-3.272597625,,,,,,238.0,,,,,,,,,,,
max,250000.0,,2585.0,,40.32280453,-2e-08,,,,,,15300.0,,,,,,,,,,,
